,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
36,uRUva2Y-RUFCBVFSrLpfKIXl-QUXHnB63GBknKPc4UTwtXE,jEgQeRFjrsxk-TwyiF6iNCc8Es2TdPYwwJaMsaGJFjkUkg,zeQ_k8mZrxQhkk5Opd8ed30m8fDnkHTHTbMWOodVD0dkHUgLgpskWw_pEjwiTa-Jd6rtsJ_JLyq53g,TRG Jagan,3478,1558933322000,203
37,h95YgrlwYP18kNXPWMNHK0vAFFrvOIaOcZVXsk2naRctBbI,XX0q-uNoCufnMpbKJU-Eilm3RKba3r_NLLBFw8jwGEAQyA,dw6QSCmWIlh43NT9YDpbmg8t2GtRajq6MIaB3lPRIZJOWfRaJd3cZBkL4ts_TYmOVVyuKMsMG2JkDg,Ginny,539,1558196463000,131
38,wTCYKFiitx-lCVkwRAZFXkHFdIb5MVWmM2N7rMS2OR_jmFk,eopyYVGak8eWLbhF1NJSfGjUPNx1yjuMOMe-PxPenfh4ACA,xW2RYo11Lkm4Jp7UVZCFJkOki2xUQPZHfTWzqcH59E2ZjfjQoPNYZR8HF-JQCBbkweqpJsYthcIPkg,Moneyman717,4089,1558146960000,120
39,xK_ovsmYwNmf1gDnYaEpzPs9DzjVmM3ZG4tM_RM3Udjhlbs,IS7hGmlX8D6AP85niTiaHpt8ucndbcFDBRokXolesxEpJK0,YniIizsGmQkmIPQtrIEpHKuHG8sZDv5y9k8yBzWr9bsB6isGWT0Vvfc6N6VKGvMImXf_h7KDgiq5Qw,Kristanto,3440,1558908339000,59
40,zZLwwnOM9r4tO2f7m2NXo_5JKtQWfyetiPmUu9HCTA2uhAM,V8txxi9IYRVpepGQRW91D9Ij0zh7gfQd_VOj-5FAMIwMI0tPrTZrTnhh,hifsfsPkINmnWZZuVsAjt6vTADURjE24g2adr_r53kutTKpWXGpEmITAQR3fM47mZadWz08XuuZDgA,hi im bussylickr,3800,1558963896000,61
41,NuVePGMxjYaOsurBwvXK_fmifWQ7LRXf1vlPaClJwTXGW2M,BI8xLKxHo1u3uEMghu6uRNOPb-wm2kKn_rZxOqTR-QviBg,9lYWFfxk5mXmo7VZzmqp_C8HBMa5mfySdTE4SQVE7MWYWOYFK_MMbE35g0tSBZooneuf2KMfHKK8nw,Aiion,3914,1558948908000,153
42,H2cbPAC-K4Pu_J75IWRXptfy4YIj-tJO-FMJLq6jIeIv7q8,dszZOOSmRgjpHHAwRNonBdSX9q95N_sEEBYrSXtjj_5gwA,hmFQ_Yx8ITr9tTqQReawB3BkMiTRRYLrEzdEGXcyMS2ZFAMcR84wAWYXKot2A1C9Ze1vnyG7zX8gig,eI Bori,4089,1558972617000,155
43,WLyvYa0mpnyZrhKksfGMC41Noa7kcM75RRKLgMCTD-FB12o,dFztb9bk2jkv66zdt8iA0AMZUzd1Twx-zODXH6w-n1jKdg,lpHOB9hj-msqDkzJmPJmmlCpE8Gz4TqAs5M9cRLnNIE4RLUf0Q-XX3ei1CNYMP-F6wj78aXRiN0VUA,Naked Beekeeper,4086,1558386848000,114
44,7hiwM8u5rm3-Wu4wEu5K7uqQ0a-LQLXF0rPIdAsCRbYYuk0,VI49VDcngcOr2st5nD7ncSRGM7sx4z1Pq3lDqjWatAahkUU,IvWJWhEw66BhIjV0F22K8OdsEh_hP-mMOaSI5cs-0T220R5ass1JD5wAfmjoCa6L6Dm2pFJUOWzxrw,C1155,9,1558728999000,37
45,vRHA7FkD_7wYFs1185t7bglKabKfmWA-DNLh5l-ThIUzbxU,pJVAt0OJKNpVUxOEvf9fNJz476rCiMrKPipEB3i5BS428So,bThq4VqSIVu0uwzSZHklyGtN0mse7c9KKBFnY_6ZU13Ewhfks-dLqevMYCKBkda914HxlnoZY-Xhyw,Golden the Wolf,3534,1558970040000,143
