id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,c1,c2,c3,c4,c5
pEl9vopH0HQqvnQ6rEUNqcE6a6RzLAoFEILTcgV33pnIhRw,msUaNbjo71-dSZVvTQE9woAa5uBL3gM6eJWZD0IMti-HLA,TyPs_TUQBPMQ2O35fIf8yl43yR8PbNVPDBVPetWY4yr8KZ2kB_tpqCoDMiGskUPafjH_itsZXA_vjw,MagicRedTheStorm,714,1558501379000,83,,,,,
urWvY03gBqx1wBCeo249B8vI2QFXvoevmhjbVX8iO7IWeVg,X7T88KxTLOD3lh4ris1IZBbTvKgB79uZrzSwm9KSNLSjJw,9jOeI_D8rLzmvIXK2pwj_Gw1g_-NMAFdWLLQReNfcTxgfpNbApUD-IBAggIMgvRqAlnNd0IvphLn4g,Drknative,4088,1557624939000,44,,,,,
IUsHrDiPPOwpmpfXtP0BQoXAOhIvZFV_MIbgbHAqgffqBhM,F7kFV932kBI4xzxaXYHvWzQu82wzxfcQxcPcmHrT772BFQSE6bSHAmsu,J4XLufpHUK_ZoaeMTvEsJ9l7LhW6EdyZd_bodrI8J5ii_pUdjhkWcWGI9KDmVIxlNg395R0TtgNbXA,lilwoofer,3897,1548648829000,37,,,,,
FOM2-3v7tVJhpsCh-dqzWHgu9xVZsBpCzhqdtV1Djv-8Pb8,ev9zocuP6glz3Idf6k5zwTb0tntDEslNfQzCxgHZv4dVscc,nGvY2uh436TMggQVeLl0v3Wco3Bo0E-ujroTzlxv_61PzKj-yCa95jrMf4WN4OUYy-8HRLkA-nw5og,CalliouChemo,3815,1558744045000,55,,,,,
lOhQSHcc-4s_LBuxBlzVMI9L5baJ-RiArMJIJZHIzR1TeTk,m6E5I4efT3GyEc2wmiwo7Rd1837CkVCKk9PNuH8WPS1A-qg,irkV6_p6DJ6A17qJPbPubpwOW7ZBt0DHJ6-LOM9gLw5v1iuFMCV3NI4jQ8QwrJ9VhhR9wECuNSEYHQ,Bludspila,1637,1558482985000,53,,,,,
Ogo_jdsj-avaz8eomJgwonQ6mnR-PS-WFiBBIlVYVwP_fVA,4nEv_K_migEmnPHGgiRzvNW2yoC-onq_fOhMgCx3NB4FZ3c,w--xm7Ps4VEv6Q1sf3EW0Uew4ZlNGqbSZkgwDF6tvQEHzischZgW2Jc0TaZaXAabcWDCIOZBEQzKNg,conquistadortez,3184,1558913525000,161,,,,,
QMIcHBiXBHmbT35VHuaoOVJLpLTDT7BVNqDhHF4BFJswxBI,LF2bEFecbzsXVi7_VJgE1uEtX8lKE5tB23kJuUNPDPtpKw,53VTABzZH-FLYulF9jZkbAXUd5mgT7n7ZWFqpNDG_SaHPQKcFjSnnhjM8H2KLyqHpLD-eXsam0U-Wg,LocoJames,4027,1558980125000,69,,,,,
oW9DHHslkwTz7rK_QMvJyR-bPANxH23zN1a5KA4q1xjQbM0,UlIAKNu9ZkMt1V28Mj9GIgkZmavDTa19HvXqlf4IzbCUn9w,yLe0xuhG4qYUdY3lSnt2uI5N8kjfb1WdQGLSBrKINTKN0ZKX3Vvwl8pWY7v4vD2jcbI3YM1GDEuVDA,Cookie pro31,774,1558936141000,58,,,,,
jKYtlmSx7nMHDuFm2J0Jh8omdmtDwx48mAwPk5dBI6dxHxs,6322mCVREOoj17Px0Rm9QZEaBgaZiVZmuDNog_-2juW3yBE,8n-WvCOCb2GsoLtjdN49x-oJkR-Cg-ykimaKG25VuMUgENZJ8BODs_d9hqNae6R7hKf1zxXgoNFsZw,opgregsta69,741,1559002615000,90,,,,,
of-f1g6X9JJTzuxcSPEfFaiMsnlACj2HXBzVdhuGry_SexQ,C5nFfpauv9B4ocy_8QIdL7nMrXI0ajGxCTYrFsWxTAFnBnw,QB2rKyhl9MF591tasCBPX60tDeGHVJZvxvyTfytMzevHZ93Z2El7Bffz8twKf_3yZ5YZ57rNzrERkg,Unker139,4088,1558928238000,73,,,,,
